sample_id,label,system_id,cos_pre_encoder,cos_encoder_feat,cos_gat_pre,cos_gat_l0,cos_gat_l1,cos_gat_l2,cos_bilstm
231,1,A02,1.000000,0.994261,0.993681,0.077315,0.001096,-0.037684,-0.011830
232,1,A06,1.000000,0.966741,0.943133,0.075234,-0.012535,0.004085,-0.037945
233,1,A05,1.000000,0.909185,0.827717,0.087103,0.044914,0.000927,-0.037570
234,1,A05,1.000000,0.964407,0.954786,0.022867,0.020757,-0.009874,-0.033259
235,0,-,1.000000,0.989066,0.981646,-0.003628,0.014181,0.031456,-0.029641
236,1,A02,1.000000,0.983802,0.950156,0.047711,-0.007756,0.011566,-0.044140
237,1,A01,1.000000,0.980299,0.962776,0.040319,-0.001819,0.035763,-0.026653
238,1,A06,1.000000,0.985375,0.951602,0.000957,0.056085,-0.003839,-0.009367
239,1,A03,1.000000,0.985423,0.976981,0.025395,0.027637,0.025301,-0.004403
240,1,A02,1.000000,0.982882,0.973090,0.004683,-0.004101,0.016954,-0.031361
241,1,A04,1.000000,0.986228,0.977644,0.014370,0.022349,0.022266,-0.033868
