winner,rho_discovery,rho_confirm,p_confirm
vel_entropy_L12,0.5087875417130144,0.1649193548387097,0.37529921962674617
sd_along,0.6462736373748609,0.5576612903225807,0.00111661034313501
sd_along,0.5408231368186874,0.6350806451612904,0.00012403319884108662
rog_L0,0.582202447163515,0.24798387096774194,0.1785936053713657
vel_entropy_L9,0.6186874304783093,0.0778225806451613,0.6773193820965928
sd_along,0.5141268075639599,0.6346774193548388,0.0001256546306387652
sd_along,0.6560622914349278,0.5100806451612904,0.0033734402435038014
sd_along,0.4967741935483871,0.6919354838709678,1.6204478473823746e-05
sd_along,0.6053392658509456,0.5935483870967742,0.000432086891455326
sd_along,0.6226918798665184,0.5520161290322582,0.0012841188124116294
sd_along,0.6622914349276974,0.5104838709677421,0.00334416513687456
sd_along,0.6849833147942158,0.44112903225806455,0.012989226631661653
sd_along,0.5817575083426029,0.5814516129032258,0.0006024016032662373
sd_along,0.6413793103448275,0.5540322580645162,0.0012219341801767859
sd_along,0.5136818687430478,0.6120967741935485,0.00025284450730183276
sd_along,0.5105672969966629,0.6572580645161291,5.8961360205279714e-05
sd_along,0.6907675194660734,0.48225806451612907,0.006006475556142377
sd_along,0.6275862068965516,0.5528225806451614,0.0012589209649930084
sd_along,0.5537263626251391,0.5745967741935484,0.0007231016131104286
sd_along,0.5630700778642936,0.6306451612903227,0.0001429388438004281
rog_L0,0.6476084538375974,0.27137096774193553,0.13975282477007553
sd_along,0.7050055617352614,0.5072580645161291,0.003584618769492466
sd_along,0.6685205784204672,0.5120967741935485,0.003229243435826459
sd_along,0.489210233592881,0.7302419354838711,3.1164905674176414e-06
sd_along,0.6302558398220245,0.5455645161290323,0.0015020691147294572
sd_along,0.6507230255839822,0.4560483870967743,0.009923405674103478
top1_frac_L9,0.553281423804227,0.14919354838709678,0.4231103795680946
sd_along,0.643159065628476,0.6403225806451613,0.00010458773034544912
sd_along,0.6903225806451613,0.492741935483871,0.0048598219075855755
part_ratio_L9,0.5159065628476084,0.23669354838709677,0.19984039600013045
sd_along,0.4829810901001112,0.6508064516129033,7.36511918645998e-05
sd_along,0.7050055617352614,0.540725806451613,0.0016860516447434143
sd_along,0.5844271412680757,0.5459677419354839,0.001487559366847387
sd_along,0.6471635150166852,0.5024193548387098,0.003973159003157109
sd_along,0.5403781979977753,0.6919354838709678,1.6204478473823746e-05
sd_along,0.5884315906562848,0.47862903225806447,0.006453749007721673
sd_along,0.7975528364849833,0.41975806451612907,0.018731747151068553
vel_entropy_L12,0.5323692992213571,0.13548387096774192,0.4674071774476669
sd_along,0.5991101223581757,0.5673387096774194,0.000873593305829856
sd_along,0.5296996662958843,0.6383064516129032,0.00011171866894359364
sd_along,0.6231368186874304,0.5004032258064517,0.0041454261302619
rog_L0,0.5724137931034483,0.2766129032258065,0.13196596843619465
sd_along,0.5719688542825361,0.6254032258064517,0.0001685598486234186
sd_along,0.7023359288097887,0.483467741935484,0.005863384669614579
sd_along,0.5759733036707452,0.5939516129032258,0.0004272303291038951
sd_along,0.6409343715239153,0.5112903225806452,0.003286271230954059
sd_along,0.6355951056729701,0.503225806451613,0.00390599519313091
sd_along,0.6654060066740823,0.4165322580645161,0.01975807881079949
sd_along,0.7147942157953281,0.47822580645161294,0.006505152678558188
sd_along,0.6729699666295884,0.4875,0.005407224307021956
vel_entropy_L9,0.5283648498331479,0.23306451612903228,0.20702620826443913
sd_along,0.48209121245828696,0.6298387096774194,0.00014663945545338708
sd_along,0.4905450500556173,0.5939516129032258,0.0004272303291038951
sd_along,0.5443826473859844,0.6491935483870969,7.780067584325238e-05
sd_along,0.5830923248053392,0.5842741935483872,0.0005581059889551699
sd_along,0.6004449388209121,0.5665322580645162,0.0008919008225942311
rog_L0,0.7437152391546161,0.21048387096774193,0.25572438396307856
sd_along,0.6925472747497218,0.5479838709677419,0.0014168286589648696
sd_along,0.6800889877641824,0.5044354838709678,0.00380708014542501
sd_along,0.5773081201334815,0.6306451612903227,0.0001429388438004281
sd_along,0.4709677419354839,0.6064516129032259,0.00029867893151724694
sd_along,0.7054505005561735,0.5834677419354839,0.0005704590745120392
rog_L0,0.692992213570634,0.13104838709677422,0.48224158377655446
top1_frac_L9,0.5942157953281423,0.20483870967741938,0.2689870418183756
sd_along,0.6240266963292548,0.5133064516129032,0.003145302380233932
sd_along,0.5216907675194661,0.46895161290322585,0.0077874221950131805
sd_along,0.593325917686318,0.5629032258064516,0.0009785136021088585
sd_along,0.6146829810901,0.5870967741935484,0.0005167059398963794
sd_along,0.5305895439377085,0.720967741935484,4.760243193000151e-06
sd_along,0.6084538375973303,0.45282258064516134,0.010528561561051728
rog_L0,0.6689655172413793,0.22137096774193551,0.23138080743046993
sd_along,0.5808676307007786,0.6294354838709677,0.0001485215628043359
sd_along,0.5105672969966629,0.6137096774193549,0.00024095102788642192
sd_along,0.6244716351501668,0.5403225806451613,0.0017022330438186731
twonn_id_L9,0.44560622914349274,0.20524193548387096,0.2680251540777635
sd_along,0.5661846496106785,0.5153225806451613,0.0030095813628393314
vel_entropy_L9,0.5550611790878754,0.13266129032258067,0.4768193896351455
sd_along,0.6164627363737486,0.5963709677419355,0.0003990905095940342
sd_along,0.6249165739710789,0.5548387096774194,0.001197807178009531
sd_along,0.7339265850945496,0.3338709677419355,0.06641715289824215
sd_along,0.5995550611790879,0.5572580645161291,0.0011279066320742136
eff_rank_L9,0.43804226918798667,0.3181451612903226,0.08112289942387478
sd_along,0.5515016685205784,0.5467741935483872,0.0014589060628762357
top1_frac_L12,0.5572858731924359,0.08427419354838711,0.6521769610520185
vel_entropy_L12,0.43759733036707454,0.23145161290322586,0.21027620819409898
sd_along,0.5835372636262514,0.5560483870967743,0.0011623975171298525
sd_along,0.6511679644048943,0.5161290322580646,0.0029567259704205064
sd_along,0.7196885428253615,0.3899193548387097,0.030127027885966925
sd_along,0.6284760845383759,0.526209677419355,0.0023606460158050327
vel_entropy_L9,0.6097886540600668,0.04274193548387097,0.8194117265731522
vel_entropy_L9,0.5056729699666296,0.27217741935483875,0.13853355016350638
rog_L12,0.611123470522803,0.030645161290322586,0.870005486611063
sd_along,0.6449388209121245,0.5625,0.0009885776702318481
sd_along,0.6636262513904337,0.45725806451612905,0.009704165760823644
tortuosity_L9,0.5875417130144606,0.11088709677419356,0.5526070423345822
