system,src_sym,tgt_sym,bon_mean,atk_mean,delta,abs_delta
A02,eɪ,ɛɪ,0.009434793151592128,0.010891099372913786,0.0014563062213216581,0.0014563062213216581
A01,iː,p,0.0176514111847621,0.016196293599968006,-0.001455117584794094,0.001455117584794094
A03,iː,ɹ,0.0162762285974322,0.014821261650523705,-0.0014549669469084963,0.0014549669469084963
A03,ɛ̃,ɛː,0.011805601423680588,0.01325791318120971,0.0014523117575291223,0.0014523117575291223
A01,ɹ,tʃ,0.008831989917252,0.007381695150735429,-0.0014502947665165711,0.0014502947665165711
A01,i,w,0.0014484677107992165,0.0,-0.0014484677107992165,0.0014484677107992165
A04,i,w,0.0014484677107992165,0.0,-0.0014484677107992165,0.0014484677107992165
A05,i,w,0.0014484677107992165,0.0,-0.0014484677107992165,0.0014484677107992165
A03,ɔː,ɔ̃,0.007987316318814526,0.009435413363839254,0.0014480970450247276,0.0014480970450247276
A03,ɛ̃,k,0.014838388317454449,0.013392229067186128,-0.0014461592502683206,0.0014461592502683206
A06,uː,f,0.0,0.0014415516137140237,0.0014415516137140237,0.0014415516137140237
A01,k,ɛɪ,0.005954952715688422,0.0045175456914125865,-0.0014374070242758356,0.0014374070242758356
A01,ɛː,ɛː,0.004242774579232737,0.0028095240151930936,-0.0014332505640396432,0.0014332505640396432
A05,ɔː,aɪə,0.005261251058140998,0.006693674247852201,0.0014324231897112029,0.0014324231897112029
